,danceability,valence,year,fedfundrate,UnemploymentRate,recession,election,US_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
160,0.674,0.847,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
161,0.499,0.531,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
162,0.402,0.761,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
163,0.629,0.736,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
164,0.61,0.837,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
165,0.5289999999999999,0.9545,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
166,0.569,0.622,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
167,0.605,0.8420000000000001,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
168,0.422,0.496,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
169,0.504,0.952,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
170,0.742,0.966,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
171,0.643,0.8605,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
172,0.804,0.924,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
173,0.452,0.546,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
174,0.7240000000000001,0.916,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
175,0.618,0.904,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
176,0.53,0.915,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
177,0.3984999999999999,0.5765,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
