,danceability,valence,year,recession,election,fedfundrate,UnemploymentRate,US_GDP,Entertainment_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
147,0.845,0.461,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
148,0.547,0.583,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
149,0.62,0.748,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
150,0.738,0.34,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
151,0.731,0.392,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
152,0.627,0.591,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
153,0.6779999999999999,0.405,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
154,0.5920000000000001,0.722,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
155,0.745,0.938,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
156,0.75,0.966,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
157,0.4370000000000001,0.547,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
158,0.524,0.789,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
159,0.604,0.176,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
160,0.8140000000000001,0.738,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
161,0.622,0.892,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
162,0.588,0.584,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
163,0.8059999999999999,0.529,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
164,0.626,0.545,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
165,0.696,0.552,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
166,0.867,0.3670000000000001,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
167,0.537,0.211,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
168,0.393,0.274,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
169,0.8815,0.8985000000000001,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
170,0.644,0.321,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
171,0.465,0.234,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
172,0.767,0.7959999999999999,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
